Value,Conversion
ALY,ALY
ALLY,ALY
ALLEY,ALY
ANEX,ANX
ANNEX,ANX
ANNX,ANX
ANX,ANX
ARC,ARC
ARCADE,ARC
AV,AVE
AVEN,AVE
AVENU,AVE
AVENUE,AVE
AVE,AVE
BYU,BYU
BAYOO,BYU
BAYOU,BYU
BCH,BCH
BEACH,BCH
BND,BND
BEND,BND
BLF,BLF
BLUFF,BLF
BOTTOM,BTM
BOT,BTM
BOTTM,BTM
BTM,BTM
BOUL,BLVD
BOULEVARD,BLVD
BOULV,BLVD
BLVD,BLVD
BOULEVARD,BLVD
BRIDGE,BRG
BRDGE,BRG
BRDG,BRG
BRG,BRG
BYPASS,BYP
BYPAS,BYP
BYPA,BYP
BYPS,BYP
BYP,BYP
CAUSEWAY,CSWY
CAUSWA,CSWY
CSWY,CSWY
CIRCLE,CIR
CIRCL,CIR
CIRC,CIR
CRCL,CIR
CIR,CIR
COURT,CT
CT,CT
DRIVE,DR
DRIV,DR
DRV,DR
DR,DR
EXPRESSWAY,EXPY
EXPR,EXPY
EXPW,EXPY
EXP,EXPY
EXPY,EXPY
FREEWAY,FWY
FREEWY,FWY
FRWAY,FWY
FRWY,FWY
FWY,FWY
GATEWAY,GTWY
GATEWY,GTWY
GTWAY,GTWY
GTWY,GTWY
HIGHWAY,HWY
HIGHWY,HWY
HIWAY,HWY
HIWY,HWY
HWAY,HWY
HWY,HWY
JUNCTION,JCT
JUNCTON,JCT
JCTION,JCT
JUNCTN,JCT
JCTN,JCT
JCT,JCT
LANE,LANE
LN,LN
LOOP,LOOP
LOOPS,LOOP
MOTORWAY,MTWY
MTWY,MTWY
PARKWAY,PKWY
PARKWY,PKWY
PKWAY,PKWY
PKY,PKWY
PKWY,PKWY
PARKWY,PKWY
ROAD,ROAD
RD,RD
ROUTE,RTE
RTE,RTE
SQUARE,SQ
SQRE,SQ
SQR,SQ
SQU,SQ
SQ,SQ
STREET,ST
STRT,ST
STR,ST
ST,ST
TRAILS,TRL
TRAIL,TRL
TRLS,TRL
TRL,TRL
TURNPIKE,TPKE
TURNPK,TPKE
TRNPK,TPKE
TPKE,TPKE
WAY,WAY
WY,WAY
